epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60374,1.81703,5.25742,1.44327,0.00304,0.91282,0.00546,0.00293,1.14531,3.88417,0.9623,0.00024,0.00024,0.00024
2,12.8576,1.29373,2.39749,1.03744,0.00328,0.98462,0.02971,0.01179,1.04461,3.81664,0.91866,0.00049505,0.00049505,0.00049505
3,18.8646,1.09353,1.80685,0.95649,0.0033,0.98974,0.00794,0.00465,0.98193,3.77868,0.90629,0.000744952,0.000744952,0.000744952
4,24.7646,1.11354,1.64975,0.97673,0.00164,0.49231,0.0016,0.00083,1.04207,3.82794,1.03979,0.000989706,0.000989706,0.000989706
5,30.4803,1.19561,1.58447,0.98607,0.00326,0.97949,0.00638,0.00396,1.13682,3.46616,1.03481,0.00122931,0.00122931,0.00122931
6,36.3584,1.10083,1.46285,1.00535,0.00735,0.98974,0.11444,0.07995,1.02885,2.8194,0.99699,0.00146377,0.00146377,0.00146377
7,42.1254,1.1518,1.39803,1.00693,0.00332,0.99487,0.04799,0.03293,0.98966,3.50558,1.00768,0.00169308,0.00169308,0.00169308
8,47.8448,1.13087,1.36198,0.99264,0.30132,0.62051,0.30784,0.20052,1.08455,2.26462,1.03949,0.0018614,0.0018614,0.0018614
9,53.4801,1.08816,1.24547,0.94928,0.99456,0.93732,0.99363,0.69922,0.96315,1.68961,0.96988,0.0018416,0.0018416,0.0018416
10,59.3894,1.07865,1.11683,0.94416,0.76535,0.97436,0.77724,0.57224,0.94323,1.30654,0.95597,0.0018218,0.0018218,0.0018218
11,65.126,1.03377,1.05306,0.94584,0.99834,0.97436,0.99436,0.74301,0.90904,1.0293,0.9568,0.001802,0.001802,0.001802
12,70.8669,1.02532,1.05482,0.95151,0.98482,0.99832,0.99464,0.73956,0.95932,0.85982,0.96799,0.0017822,0.0017822,0.0017822
13,76.5064,1.02364,0.94529,0.91392,0.9868,0.99487,0.9949,0.7354,0.89703,0.685,0.92305,0.0017624,0.0017624,0.0017624
14,82.1274,1.01979,0.9549,0.92916,0.9843,1,0.99454,0.7202,0.93713,0.72885,0.94065,0.0017426,0.0017426,0.0017426
15,87.7777,0.99359,0.92035,0.91772,0.99155,1,0.99495,0.73493,0.90239,0.70143,0.94265,0.0017228,0.0017228,0.0017228
16,93.447,0.9859,0.93332,0.90083,0.99471,0.98974,0.9949,0.7412,0.90716,0.69844,0.92465,0.001703,0.001703,0.001703
17,99.0388,0.97767,0.86906,0.94077,1,0.97788,0.9946,0.76713,0.8115,0.66074,0.90531,0.0016832,0.0016832,0.0016832
18,104.906,0.98744,0.84645,0.92977,0.99886,0.97949,0.99077,0.75553,0.83788,0.69947,0.90024,0.0016634,0.0016634,0.0016634
19,110.497,0.92924,0.81216,0.91578,1,0.98373,0.99485,0.73628,0.90997,0.61497,0.90749,0.0016436,0.0016436,0.0016436
20,116.167,0.87983,0.75102,0.90011,1,0.97785,0.99384,0.75305,0.84971,0.58851,0.89904,0.0016238,0.0016238,0.0016238
21,121.783,0.95405,0.74609,0.90295,0.99655,0.98462,0.99495,0.77813,0.79696,0.5135,0.90367,0.001604,0.001604,0.001604
22,127.376,0.86921,0.70798,0.88811,0.99672,0.98462,0.9949,0.76137,0.86698,0.52167,0.90242,0.0015842,0.0015842,0.0015842
23,133.064,0.92481,0.71034,0.92136,0.99611,0.99487,0.995,0.76797,0.78362,0.53507,0.90138,0.0015644,0.0015644,0.0015644
24,138.728,0.89758,0.69619,0.90116,0.98834,1,0.9949,0.76656,0.79667,0.48983,0.90017,0.0015446,0.0015446,0.0015446
25,144.467,0.89575,0.66461,0.89178,0.99843,0.98974,0.9949,0.77114,0.75824,0.49888,0.88422,0.0015248,0.0015248,0.0015248
26,150.057,0.85835,0.64029,0.91397,0.99304,1,0.99495,0.77503,0.75852,0.48885,0.89865,0.001505,0.001505,0.001505
27,155.737,0.89693,0.64958,0.90884,0.99424,0.98974,0.99465,0.77833,0.78452,0.48779,0.89801,0.0014852,0.0014852,0.0014852
28,161.424,0.83439,0.61255,0.88815,0.9982,1,0.995,0.76766,0.80756,0.48555,0.88294,0.0014654,0.0014654,0.0014654
29,167.095,0.94321,0.62604,0.8818,0.99829,1,0.995,0.77665,0.78782,0.48777,0.88433,0.0014456,0.0014456,0.0014456
30,172.656,0.91414,0.62361,0.88937,1,0.9983,0.995,0.74346,0.85373,0.46888,0.88634,0.0014258,0.0014258,0.0014258
31,178.288,0.88835,0.61217,0.9108,0.99938,1,0.995,0.77011,0.78165,0.45614,0.88013,0.001406,0.001406,0.001406
32,184.03,0.8539,0.57806,0.89605,1,0.99435,0.995,0.79444,0.7434,0.46949,0.86348,0.0013862,0.0013862,0.0013862
